Date,Creative,"Creative ID","Total Ads Requested"
2025-12-29,C1XBHJ4-5080551-NGE_FY26_ENG_ExpeditionCruiseQ1ExpeditionCruiseIcelandDOMNOOFF_300x600,5699553,7021
2025-12-29,C1XBHJ4-5080551-NGE_FY26_ENG_ExpeditionCruiseQ1ExpeditionCruiseIcelandDOMNOOFF_728x90,5699554,8184
2025-12-29,C1XBHJ4-5080551-NGE_FY26_ENG_ExpeditionCruiseQ1ExpeditionCruiseIcelandMobileStaticDOMNOOFF_320x50,5684976,26284
2025-12-29,C22O4KQ-4458302-NGE_FY25_ENG_Q3PrivateJetEliteTravelerWebBanners_300x250,5279456,5
2025-12-29,C22O4KQ-4458302-NGE_FY25_ENG_Q3PrivateJetEliteTravelerWebBanners_300x600,5279459,2
2025-12-29,C22O4KQ-4458302-NGE_FY25_ENG_Q3PrivateJetEliteTravelerWebBanners_320x50,5279462,4
2025-12-29,C22O4KQ-4458302-NGE_FY25_ENG_Q3PrivateJetEliteTravelerWebBanners_728x90,5279466,1
2025-12-29,C22O4KQ-4458302-NGE_FY25_ENG_Q3PrivateJetEliteTravelerWebBanners_970x250,5279469,3
2025-12-29,C23ZN34-3851151-DLR_FY24_ENG_DTDQ3ShoppingAndEntertainment_160x600,4664239,1208
2025-12-29,C23ZN34-3851151-DLR_FY24_ENG_DTDQ3ShoppingAndEntertainment_300x250,4664241,8716
2025-12-29,C23ZN34-3851151-DLR_FY24_ENG_DTDQ3ShoppingAndEntertainment_300x600,4664243,523
2025-12-29,C23ZN34-3851151-DLR_FY24_ENG_DTDQ3ShoppingAndEntertainment_320x50,4662569,5004
2025-12-29,C23ZN34-3851151-DLR_FY24_ENG_DTDQ3ShoppingAndEntertainment_728x90,4664238,3804
2025-12-29,C25XHY2-4433750-DCL_FY25_ENG_WISHTRANSACTDOMNOOFF_160x600,5225593,2761
2025-12-29,C25XHY2-4433750-DCL_FY25_ENG_WISHTRANSACTDOMNOOFF_300x250,5225594,14119
2025-12-29,C25XHY2-4433750-DCL_FY25_ENG_WISHTRANSACTDOMNOOFF_300x600,5225595,2119
2025-12-29,C25XHY2-4433750-DCL_FY25_ENG_WISHTRANSACTDOMNOOFF_320x50,5268596,6809
2025-12-29,C25XHY2-4433750-DCL_FY25_ENG_WISHTRANSACTDOMNOOFF_728x90,5225596,5006
2025-12-29,C2AWY8K-5214550-DLR_FY26_ENG_MagicKeyNovember_160x600,5788390,2160
2025-12-29,C2AWY8K-5214550-DLR_FY26_ENG_MagicKeyNovember_300x250,5788391,19600
2025-12-29,C2AWY8K-5214550-DLR_FY26_ENG_MagicKeyNovember_300x600,5788392,1306
2025-12-29,C2AWY8K-5214550-DLR_FY26_ENG_MagicKeyNovember_320x50,5728000,16228
2025-12-29,C2AWY8K-5214550-DLR_FY26_ENG_MagicKeyNovember_728x90,5788393,7331
2025-12-29,C2YLMGG-4003756-DVC_FY24_ENG_URSAPreOpeningNOWOPENISLANDINSPIREDDisplayDOMNOOFF_160x600,4858325,1868
2025-12-29,C2YLMGG-4003756-DVC_FY24_ENG_URSAPreOpeningNOWOPENISLANDINSPIREDDisplayDOMNOOFF_300x250,4858327,23195
2025-12-29,C2YLMGG-4003756-DVC_FY24_ENG_URSAPreOpeningNOWOPENISLANDINSPIREDDisplayDOMNOOFF_300x600,4858323,2945
2025-12-29,C2YLMGG-4003756-DVC_FY24_ENG_URSAPreOpeningNOWOPENISLANDINSPIREDDisplayDOMNOOFF_320x50,4834741,18777
2025-12-29,C2YLMGG-4003756-DVC_FY24_ENG_URSAPreOpeningNOWOPENISLANDINSPIREDDisplayDOMNOOFF_728x90,4858326,6188
2025-12-29,C3GNOU7-4265800-DCL_FY25_ENG_ISLANDDESTINATIONSACTIVATEDOMNOOFF_160x600,5346400,4164
2025-12-29,C3GNOU7-4265800-DCL_FY25_ENG_ISLANDDESTINATIONSACTIVATEDOMNOOFF_300x250,5346402,49546
2025-12-29,C3GNOU7-4265800-DCL_FY25_ENG_ISLANDDESTINATIONSACTIVATEDOMNOOFF_300x600,5346403,5451
2025-12-29,C3GNOU7-4265800-DCL_FY25_ENG_ISLANDDESTINATIONSACTIVATEDOMNOOFF_320x50,5341539,39519
2025-12-29,C3GNOU7-4265800-DCL_FY25_ENG_ISLANDDESTINATIONSACTIVATEDOMNOOFF_728x90,5346404,11269
2025-12-29,C3LY4WF-4068002-WDW_FY24_ENG_HolidaysDisneySpringsSHOPFLRESNOOFF_160x600,5686982,1130
2025-12-29,C3LY4WF-4068002-WDW_FY24_ENG_HolidaysDisneySpringsSHOPFLRESNOOFF_300x250,5686983,8367
2025-12-29,C3LY4WF-4068002-WDW_FY24_ENG_HolidaysDisneySpringsSHOPFLRESNOOFF_300x600,5686984,1505
2025-12-29,C3LY4WF-4068002-WDW_FY24_ENG_HolidaysDisneySpringsSHOPFLRESNOOFF_320x50,4917481,34594
2025-12-29,C3LY4WF-4068002-WDW_FY24_ENG_HolidaysDisneySpringsSHOPFLRESNOOFF_728x90,5686985,4572
2025-12-29,C3WC1S2-5089800-WDW_FY26_ENG_APRebrandAPPASSHLDRNOOFF_160x600,5682755,5578
2025-12-29,C3WC1S2-5089800-WDW_FY26_ENG_APRebrandAPPASSHLDRNOOFF_300x250,5682756,58900
2025-12-29,C3WC1S2-5089800-WDW_FY26_ENG_APRebrandAPPASSHLDRNOOFF_300x600,5682757,6698
2025-12-29,C3WC1S2-5089800-WDW_FY26_ENG_APRebrandAPPASSHLDRNOOFF_320x50,5646557,30557
2025-12-29,C3WC1S2-5089800-WDW_FY26_ENG_APRebrandAPPASSHLDRNOOFF_728x90,5646558,11784
2025-12-29,C4GCUAQ-4987600-WDW_FY26_ENG_DiningEECDiningHolidayDOMNOOFF_160x600,5712846,4460
2025-12-29,C4GCUAQ-4987600-WDW_FY26_ENG_DiningEECDiningHolidayDOMNOOFF_300x250,5712847,26371
2025-12-29,C4GCUAQ-4987600-WDW_FY26_ENG_DiningEECDiningHolidayDOMNOOFF_300x600,5712848,1448
2025-12-29,C4GCUAQ-4987600-WDW_FY26_ENG_DiningEECDiningHolidayDOMNOOFF_320x50,5700359,21198
2025-12-29,C4GCUAQ-4987600-WDW_FY26_ENG_DiningEECDiningHolidayDOMNOOFF_728x90,5712849,5872
2025-12-29,C4MWVTC-4865250-WDW_FY25_ENG_RoomOnlyInspireDOMQ2Q3RoomOnlyOffer_160x600,5591339,12516
2025-12-29,C4MWVTC-4865250-WDW_FY25_ENG_RoomOnlyInspireDOMQ2Q3RoomOnlyOffer_300x250,5591340,308088
2025-12-29,C4MWVTC-4865250-WDW_FY25_ENG_RoomOnlyInspireDOMQ2Q3RoomOnlyOffer_300x600,5591341,39293
2025-12-29,C4MWVTC-4865250-WDW_FY25_ENG_RoomOnlyInspireDOMQ2Q3RoomOnlyOffer_320x50,5522067,163971
2025-12-29,C4MWVTC-4865250-WDW_FY25_ENG_RoomOnlyInspireDOMQ2Q3RoomOnlyOffer_728x90,5591342,52727
2025-12-29,C518UC3-4068002-WDW_FY24_ENG_HolidaysDisneySpringsDINEFLRESNOOFF_160x600,5686986,1393
2025-12-29,C518UC3-4068002-WDW_FY24_ENG_HolidaysDisneySpringsDINEFLRESNOOFF_300x250,5686987,7815
2025-12-29,C518UC3-4068002-WDW_FY24_ENG_HolidaysDisneySpringsDINEFLRESNOOFF_300x600,5686988,1384
2025-12-29,C518UC3-4068002-WDW_FY24_ENG_HolidaysDisneySpringsDINEFLRESNOOFF_320x50,4917482,35318
2025-12-29,C518UC3-4068002-WDW_FY24_ENG_HolidaysDisneySpringsDINEFLRESNOOFF_728x90,5686989,4312
2025-12-29,C53K6W8-4987600-WDW_FY26_ENG_DiningEECHolidayDOMNOOFF_160x600,5712842,3409
2025-12-29,C53K6W8-4987600-WDW_FY26_ENG_DiningEECHolidayDOMNOOFF_300x250,5712843,19619
2025-12-29,C53K6W8-4987600-WDW_FY26_ENG_DiningEECHolidayDOMNOOFF_300x600,5712844,1234
2025-12-29,C53K6W8-4987600-WDW_FY26_ENG_DiningEECHolidayDOMNOOFF_320x50,5700360,16061
2025-12-29,C53K6W8-4987600-WDW_FY26_ENG_DiningEECHolidayDOMNOOFF_728x90,5712845,4773
2025-12-29,C55VQYM-4304066-WDW_FY25_ENG_HWYADisneySpringsHWYADigitalBannersDOMNOOFF_160x600,5071646,477
2025-12-29,C55VQYM-4304066-WDW_FY25_ENG_HWYADisneySpringsHWYADigitalBannersDOMNOOFF_300x250,5071647,6660
2025-12-29,C55VQYM-4304066-WDW_FY25_ENG_HWYADisneySpringsHWYADigitalBannersDOMNOOFF_300x600,5071648,882
2025-12-29,C55VQYM-4304066-WDW_FY25_ENG_HWYADisneySpringsHWYADigitalBannersDOMNOOFF_320x50,5041796,63390
2025-12-29,C55VQYM-4304066-WDW_FY25_ENG_HWYADisneySpringsHWYADigitalBannersDOMNOOFF_728x90,5071649,4213
2025-12-29,C5II38F-4955900-DVC_FY26_ENG_SweepstakesQ1AulaniAnimatedDisplayDVCMEMNOOFF_160x600,5750590,1656
2025-12-29,C5II38F-4955900-DVC_FY26_ENG_SweepstakesQ1AulaniAnimatedDisplayDVCMEMNOOFF_300x250,5750591,19859
2025-12-29,C5II38F-4955900-DVC_FY26_ENG_SweepstakesQ1AulaniAnimatedDisplayDVCMEMNOOFF_300x600,5750592,2566
2025-12-29,C5II38F-4955900-DVC_FY26_ENG_SweepstakesQ1AulaniAnimatedDisplayDVCMEMNOOFF_728x90,5750593,5685
2025-12-29,C5II38F-4955900-DVC_FY26_ENG_SweepstakesQ1AulaniStaticDisplayDVCMEMNOOFF_320x50,5684906,16131
2025-12-29,C5LDB0O-4908701-DLR_FY26_SPN_Disneylandia_160x600,5838777,660
2025-12-29,C5LDB0O-4908701-DLR_FY26_SPN_Disneylandia_300x250,5838778,5511
2025-12-29,C5LDB0O-4908701-DLR_FY26_SPN_Disneylandia_300x600,5838779,194
2025-12-29,C5LDB0O-4908701-DLR_FY26_SPN_Disneylandia_320x50,5786494,5916
2025-12-29,C5LDB0O-4908701-DLR_FY26_SPN_Disneylandia_728x90,5838780,306
2025-12-29,C5MFH1O-3936800-DCL_FY24_ENG_BlackConsumerCametoPlayBLKNOOFF_160x600,4683372,21882
2025-12-29,C5MFH1O-3936800-DCL_FY24_ENG_BlackConsumerCametoPlayBLKNOOFF_300x250,4683373,505237
